Light_Field,Hypercubo,Pos_x,Pos_y,Pos_u,Pos_v,Channel,Level,Hypercubo_Size,N_Zero,N_One,N_Two,N_Greater_Than_Two,Total_Values,
Bikes,0,0,0,0,0,0,1,3136,3134,1,0,1,3136,
Bikes,0,8,0,0,0,0,1,2744,2744,0,0,0,2744,
Bikes,0,0,8,0,0,0,1,2744,2744,0,0,0,2744,
Bikes,0,8,8,0,0,0,1,2401,2401,0,0,0,2401,
Bikes,0,0,0,7,0,0,1,2688,2688,0,0,0,2688,
Bikes,0,8,0,7,0,0,1,2352,2352,0,0,0,2352,
Bikes,0,0,8,7,0,0,1,2352,2352,0,0,0,2352,
Bikes,0,8,8,7,0,0,1,2058,2058,0,0,0,2058,
Bikes,0,0,0,0,7,0,1,2688,2688,0,0,0,2688,
Bikes,0,8,0,0,7,0,1,2352,2352,0,0,0,2352,
Bikes,0,0,8,0,7,0,1,2352,2352,0,0,0,2352,
Bikes,0,8,8,0,7,0,1,2058,2058,0,0,0,2058,
Bikes,0,0,0,7,7,0,1,2304,2304,0,0,0,2304,
Bikes,0,8,0,7,7,0,1,2016,2016,0,0,0,2016,
Bikes,0,0,8,7,7,0,1,2016,2016,0,0,0,2016,
Bikes,0,8,8,7,7,0,1,1764,1764,0,0,0,1764,
Bikes,0,0,0,0,0,1,1,3136,3135,0,0,1,3136,
Bikes,0,8,0,0,0,1,1,2744,2744,0,0,0,2744,
Bikes,0,0,8,0,0,1,1,2744,2744,0,0,0,2744,
Bikes,0,8,8,0,0,1,1,2401,2401,0,0,0,2401,
Bikes,0,0,0,7,0,1,1,2688,2688,0,0,0,2688,
Bikes,0,8,0,7,0,1,1,2352,2352,0,0,0,2352,
Bikes,0,0,8,7,0,1,1,2352,2352,0,0,0,2352,
Bikes,0,8,8,7,0,1,1,2058,2058,0,0,0,2058,
Bikes,0,0,0,0,7,1,1,2688,2688,0,0,0,2688,
Bikes,0,8,0,0,7,1,1,2352,2352,0,0,0,2352,
Bikes,0,0,8,0,7,1,1,2352,2352,0,0,0,2352,
Bikes,0,8,8,0,7,1,1,2058,2058,0,0,0,2058,
Bikes,0,0,0,7,7,1,1,2304,2304,0,0,0,2304,
Bikes,0,8,0,7,7,1,1,2016,2016,0,0,0,2016,
Bikes,0,0,8,7,7,1,1,2016,2016,0,0,0,2016,
Bikes,0,8,8,7,7,1,1,1764,1764,0,0,0,1764,
Bikes,0,0,0,0,0,2,1,3136,3135,0,0,1,3136,
Bikes,0,8,0,0,0,2,1,2744,2744,0,0,0,2744,
Bikes,0,0,8,0,0,2,1,2744,2744,0,0,0,2744,
Bikes,0,8,8,0,0,2,1,2401,2401,0,0,0,2401,
Bikes,0,0,0,7,0,2,1,2688,2688,0,0,0,2688,
Bikes,0,8,0,7,0,2,1,2352,2352,0,0,0,2352,
Bikes,0,0,8,7,0,2,1,2352,2352,0,0,0,2352,
Bikes,0,8,8,7,0,2,1,2058,2058,0,0,0,2058,
Bikes,0,0,0,0,7,2,1,2688,2688,0,0,0,2688,
Bikes,0,8,0,0,7,2,1,2352,2352,0,0,0,2352,
Bikes,0,0,8,0,7,2,1,2352,2352,0,0,0,2352,
Bikes,0,8,8,0,7,2,1,2058,2058,0,0,0,2058,
Bikes,0,0,0,7,7,2,1,2304,2304,0,0,0,2304,
Bikes,0,8,0,7,7,2,1,2016,2016,0,0,0,2016,
Bikes,0,0,8,7,7,2,1,2016,2016,0,0,0,2016,
Bikes,0,8,8,7,7,2,1,1764,1764,0,0,0,1764,
Bikes,1,15,0,0,0,0,1,3136,3135,0,0,1,3136,
Bikes,1,23,0,0,0,0,1,2744,2744,0,0,0,2744,
Bikes,1,15,8,0,0,0,1,2744,2744,0,0,0,2744,
Bikes,1,23,8,0,0,0,1,2401,2401,0,0,0,2401,
Bikes,1,15,0,7,0,0,1,2688,2688,0,0,0,2688,
Bikes,1,23,0,7,0,0,1,2352,2352,0,0,0,2352,
Bikes,1,15,8,7,0,0,1,2352,2352,0,0,0,2352,
Bikes,1,23,8,7,0,0,1,2058,2058,0,0,0,2058,
Bikes,1,15,0,0,7,0,1,2688,2688,0,0,0,2688,
Bikes,1,23,0,0,7,0,1,2352,2352,0,0,0,2352,
Bikes,1,15,8,0,7,0,1,2352,2352,0,0,0,2352,
Bikes,1,23,8,0,7,0,1,2058,2058,0,0,0,2058,
Bikes,1,15,0,7,7,0,1,2304,2304,0,0,0,2304,
Bikes,1,23,0,7,7,0,1,2016,2016,0,0,0,2016,
Bikes,1,15,8,7,7,0,1,2016,2016,0,0,0,2016,
Bikes,1,23,8,7,7,0,1,1764,1764,0,0,0,1764,
Bikes,1,15,0,0,0,1,1,3136,3135,0,0,1,3136,
Bikes,1,23,0,0,0,1,1,2744,2744,0,0,0,2744,
Bikes,1,15,8,0,0,1,1,2744,2744,0,0,0,2744,
Bikes,1,23,8,0,0,1,1,2401,2401,0,0,0,2401,
Bikes,1,15,0,7,0,1,1,2688,2688,0,0,0,2688,
Bikes,1,23,0,7,0,1,1,2352,2352,0,0,0,2352,
Bikes,1,15,8,7,0,1,1,2352,2352,0,0,0,2352,
Bikes,1,23,8,7,0,1,1,2058,2058,0,0,0,2058,
Bikes,1,15,0,0,7,1,1,2688,2688,0,0,0,2688,
Bikes,1,23,0,0,7,1,1,2352,2352,0,0,0,2352,
Bikes,1,15,8,0,7,1,1,2352,2352,0,0,0,2352,
Bikes,1,23,8,0,7,1,1,2058,2058,0,0,0,2058,
Bikes,1,15,0,7,7,1,1,2304,2304,0,0,0,2304,
Bikes,1,23,0,7,7,1,1,2016,2016,0,0,0,2016,
Bikes,1,15,8,7,7,1,1,2016,2016,0,0,0,2016,
Bikes,1,23,8,7,7,1,1,1764,1764,0,0,0,1764,
Bikes,1,15,0,0,0,2,1,3136,3135,0,0,1,3136,
Bikes,1,23,0,0,0,2,1,2744,2744,0,0,0,2744,
Bikes,1,15,8,0,0,2,1,2744,2744,0,0,0,2744,
Bikes,1,23,8,0,0,2,1,2401,2401,0,0,0,2401,
Bikes,1,15,0,7,0,2,1,2688,2688,0,0,0,2688,
Bikes,1,23,0,7,0,2,1,2352,2352,0,0,0,2352,
Bikes,1,15,8,7,0,2,1,2352,2352,0,0,0,2352,
Bikes,1,23,8,7,0,2,1,2058,2058,0,0,0,2058,
Bikes,1,15,0,0,7,2,1,2688,2688,0,0,0,2688,
Bikes,1,23,0,0,7,2,1,2352,2352,0,0,0,2352,
Bikes,1,15,8,0,7,2,1,2352,2352,0,0,0,2352,
Bikes,1,23,8,0,7,2,1,2058,2058,0,0,0,2058,
Bikes,1,15,0,7,7,2,1,2304,2304,0,0,0,2304,
Bikes,1,23,0,7,7,2,1,2016,2016,0,0,0,2016,
Bikes,1,15,8,7,7,2,1,2016,2016,0,0,0,2016,
Bikes,1,23,8,7,7,2,1,1764,1764,0,0,0,1764,
Bikes,2,30,0,0,0,0,1,3136,3135,0,0,1,3136,
Bikes,2,38,0,0,0,0,1,2744,2744,0,0,0,2744,
Bikes,2,30,8,0,0,0,1,2744,2744,0,0,0,2744,
Bikes,2,38,8,0,0,0,1,2401,2401,0,0,0,2401,
Bikes,2,30,0,7,0,0,1,2688,2688,0,0,0,2688,
Bikes,2,38,0,7,0,0,1,2352,2352,0,0,0,2352,
Bikes,2,30,8,7,0,0,1,2352,2352,0,0,0,2352,
Bikes,2,38,8,7,0,0,1,2058,2058,0,0,0,2058,
Bikes,2,30,0,0,7,0,1,2688,2688,0,0,0,2688,
Bikes,2,38,0,0,7,0,1,2352,2352,0,0,0,2352,
Bikes,2,30,8,0,7,0,1,2352,2352,0,0,0,2352,
Bikes,2,38,8,0,7,0,1,2058,2058,0,0,0,2058,
Bikes,2,30,0,7,7,0,1,2304,2304,0,0,0,2304,
Bikes,2,38,0,7,7,0,1,2016,2016,0,0,0,2016,
Bikes,2,30,8,7,7,0,1,2016,2016,0,0,0,2016,
Bikes,2,38,8,7,7,0,1,1764,1764,0,0,0,1764,
Bikes,2,30,0,0,0,1,1,3136,3135,0,0,1,3136,
Bikes,2,38,0,0,0,1,1,2744,2744,0,0,0,2744,
Bikes,2,30,8,0,0,1,1,2744,2744,0,0,0,2744,
Bikes,2,38,8,0,0,1,1,2401,2401,0,0,0,2401,
Bikes,2,30,0,7,0,1,1,2688,2688,0,0,0,2688,
Bikes,2,38,0,7,0,1,1,2352,2352,0,0,0,2352,
Bikes,2,30,8,7,0,1,1,2352,2352,0,0,0,2352,
Bikes,2,38,8,7,0,1,1,2058,2058,0,0,0,2058,
Bikes,2,30,0,0,7,1,1,2688,2688,0,0,0,2688,
Bikes,2,38,0,0,7,1,1,2352,2352,0,0,0,2352,
Bikes,2,30,8,0,7,1,1,2352,2352,0,0,0,2352,
Bikes,2,38,8,0,7,1,1,2058,2058,0,0,0,2058,
Bikes,2,30,0,7,7,1,1,2304,2304,0,0,0,2304,
Bikes,2,38,0,7,7,1,1,2016,2016,0,0,0,2016,
Bikes,2,30,8,7,7,1,1,2016,2016,0,0,0,2016,
Bikes,2,38,8,7,7,1,1,1764,1764,0,0,0,1764,
Bikes,2,30,0,0,0,2,1,3136,3135,0,0,1,3136,
Bikes,2,38,0,0,0,2,1,2744,2744,0,0,0,2744,
Bikes,2,30,8,0,0,2,1,2744,2744,0,0,0,2744,
Bikes,2,38,8,0,0,2,1,2401,2401,0,0,0,2401,
Bikes,2,30,0,7,0,2,1,2688,2688,0,0,0,2688,
Bikes,2,38,0,7,0,2,1,2352,2352,0,0,0,2352,
Bikes,2,30,8,7,0,2,1,2352,2352,0,0,0,2352,
Bikes,2,38,8,7,0,2,1,2058,2058,0,0,0,2058,
Bikes,2,30,0,0,7,2,1,2688,2688,0,0,0,2688,
Bikes,2,38,0,0,7,2,1,2352,2352,0,0,0,2352,
Bikes,2,30,8,0,7,2,1,2352,2352,0,0,0,2352,
Bikes,2,38,8,0,7,2,1,2058,2058,0,0,0,2058,
Bikes,2,30,0,7,7,2,1,2304,2304,0,0,0,2304,
Bikes,2,38,0,7,7,2,1,2016,2016,0,0,0,2016,
Bikes,2,30,8,7,7,2,1,2016,2016,0,0,0,2016,
Bikes,2,38,8,7,7,2,1,1764,1764,0,0,0,1764,
Bikes,3,45,0,0,0,0,1,3136,3134,1,0,1,3136,
Bikes,3,53,0,0,0,0,1,2744,2744,0,0,0,2744,
Bikes,3,45,8,0,0,0,1,2744,2744,0,0,0,2744,
Bikes,3,53,8,0,0,0,1,2401,2401,0,0,0,2401,
Bikes,3,45,0,7,0,0,1,2688,2688,0,0,0,2688,
Bikes,3,53,0,7,0,0,1,2352,2352,0,0,0,2352,
Bikes,3,45,8,7,0,0,1,2352,2352,0,0,0,2352,
Bikes,3,53,8,7,0,0,1,2058,2058,0,0,0,2058,
Bikes,3,45,0,0,7,0,1,2688,2688,0,0,0,2688,
Bikes,3,53,0,0,7,0,1,2352,2352,0,0,0,2352,
Bikes,3,45,8,0,7,0,1,2352,2352,0,0,0,2352,
Bikes,3,53,8,0,7,0,1,2058,2058,0,0,0,2058,
Bikes,3,45,0,7,7,0,1,2304,2304,0,0,0,2304,
Bikes,3,53,0,7,7,0,1,2016,2016,0,0,0,2016,
Bikes,3,45,8,7,7,0,1,2016,2016,0,0,0,2016,
Bikes,3,53,8,7,7,0,1,1764,1764,0,0,0,1764,
Bikes,3,45,0,0,0,1,1,3136,3135,0,0,1,3136,
Bikes,3,53,0,0,0,1,1,2744,2744,0,0,0,2744,
Bikes,3,45,8,0,0,1,1,2744,2744,0,0,0,2744,
