Light_Field,Hypercubo,Pos_x,Pos_y,Pos_u,Pos_v,Channel,Level,Hypercubo_Size,N_Zero,N_One,N_Two,N_Greater_Than_Two,Total_Values,
Bikes,0,0,0,0,0,0,0,38025,30940,2930,1170,2985,38025,
Bikes,0,0,0,0,0,1,0,38025,34103,2209,756,957,38025,
Bikes,0,0,0,0,0,2,0,38025,33080,2745,960,1240,38025,
Bikes,1,15,0,0,0,0,0,38025,33147,2051,783,2044,38025,
Bikes,1,15,0,0,0,1,0,38025,34318,2057,702,948,38025,
Bikes,1,15,0,0,0,2,0,38025,34562,2050,628,785,38025,
Bikes,2,30,0,0,0,0,0,38025,33240,2173,826,1786,38025,
Bikes,2,30,0,0,0,1,0,38025,34845,1772,572,836,38025,
Bikes,2,30,0,0,0,2,0,38025,35325,1585,504,611,38025,
Bikes,3,45,0,0,0,0,0,38025,31211,2844,1176,2794,38025,
Bikes,3,45,0,0,0,1,0,38025,34821,1712,611,881,38025,
Bikes,3,45,0,0,0,2,0,38025,34783,1769,641,832,38025,
Bikes,4,60,0,0,0,0,0,38025,33104,2111,793,2017,38025,
Bikes,4,60,0,0,0,1,0,38025,35722,1263,414,626,38025,
Bikes,4,60,0,0,0,2,0,38025,35653,1420,430,522,38025,
Bikes,5,75,0,0,0,0,0,38025,35296,1132,418,1179,38025,
Bikes,5,75,0,0,0,1,0,38025,36625,952,232,216,38025,
Bikes,5,75,0,0,0,2,0,38025,36324,1113,302,286,38025,
Bikes,6,90,0,0,0,0,0,38025,35692,990,400,943,38025,
Bikes,6,90,0,0,0,1,0,38025,36700,898,221,206,38025,
Bikes,6,90,0,0,0,2,0,38025,36324,1113,326,262,38025,
Bikes,7,105,0,0,0,0,0,38025,35264,1258,440,1063,38025,
Bikes,7,105,0,0,0,1,0,38025,36411,1023,291,300,38025,
Bikes,7,105,0,0,0,2,0,38025,36329,1074,309,313,38025,
Bikes,8,120,0,0,0,0,0,38025,33897,1780,711,1637,38025,
Bikes,8,120,0,0,0,1,0,38025,36167,1102,326,430,38025,
Bikes,8,120,0,0,0,2,0,38025,35943,1305,362,415,38025,
Bikes,9,135,0,0,0,0,0,38025,34774,1403,522,1326,38025,
Bikes,9,135,0,0,0,1,0,38025,36413,1032,289,291,38025,
Bikes,9,135,0,0,0,2,0,38025,36192,1186,336,311,38025,
Bikes,10,150,0,0,0,0,0,38025,34237,1503,621,1664,38025,
Bikes,10,150,0,0,0,1,0,38025,35902,1184,354,585,38025,
Bikes,10,150,0,0,0,2,0,38025,35886,1227,393,519,38025,
Bikes,11,165,0,0,0,0,0,38025,33171,2033,732,2089,38025,
Bikes,11,165,0,0,0,1,0,38025,35649,1315,408,653,38025,
Bikes,11,165,0,0,0,2,0,38025,35580,1404,415,626,38025,
Bikes,12,180,0,0,0,0,0,38025,32643,2213,880,2289,38025,
Bikes,12,180,0,0,0,1,0,38025,35187,1468,539,831,38025,
Bikes,12,180,0,0,0,2,0,38025,35211,1494,539,781,38025,
Bikes,13,195,0,0,0,0,0,38025,32577,2118,928,2402,38025,
Bikes,13,195,0,0,0,1,0,38025,35108,1520,481,916,38025,
Bikes,13,195,0,0,0,2,0,38025,35113,1595,541,776,38025,
Bikes,14,210,0,0,0,0,0,38025,31752,2489,1016,2768,38025,
Bikes,14,210,0,0,0,1,0,38025,34213,1927,708,1177,38025,
Bikes,14,210,0,0,0,2,0,38025,34472,1868,641,1044,38025,
Bikes,15,225,0,0,0,0,0,38025,30920,2779,1186,3140,38025,
Bikes,15,225,0,0,0,1,0,38025,32986,2672,893,1474,38025,
Bikes,15,225,0,0,0,2,0,38025,33486,2385,801,1353,38025,
Bikes,16,240,0,0,0,0,0,38025,32140,2468,926,2491,38025,
Bikes,16,240,0,0,0,1,0,38025,35224,1550,469,782,38025,
Bikes,16,240,0,0,0,2,0,38025,35292,1537,501,695,38025,
Bikes,17,255,0,0,0,0,0,38025,35408,1147,410,1060,38025,
Bikes,17,255,0,0,0,1,0,38025,36563,970,260,232,38025,
Bikes,17,255,0,0,0,2,0,38025,36284,1142,308,291,38025,
Bikes,18,270,0,0,0,0,0,38025,35393,1185,413,1034,38025,
Bikes,18,270,0,0,0,1,0,38025,36474,944,266,341,38025,
Bikes,18,270,0,0,0,2,0,38025,36244,1130,309,342,38025,
Bikes,19,285,0,0,0,0,0,38025,34978,1318,488,1241,38025,
Bikes,19,285,0,0,0,1,0,38025,36200,1047,329,449,38025,
Bikes,19,285,0,0,0,2,0,38025,36191,1143,315,376,38025,
Bikes,20,300,0,0,0,0,0,38025,31658,2819,1048,2500,38025,
Bikes,20,300,0,0,0,1,0,38025,29489,4632,1588,2316,38025,
Bikes,20,300,0,0,0,2,0,38025,33571,2471,865,1118,38025,
Bikes,21,315,0,0,0,0,0,38025,32733,2358,865,2069,38025,
Bikes,21,315,0,0,0,1,0,38025,31984,3307,1091,1643,38025,
Bikes,21,315,0,0,0,2,0,38025,34418,2037,711,859,38025,
Bikes,22,330,0,0,0,0,0,38025,34481,1580,592,1372,38025,
Bikes,22,330,0,0,0,1,0,38025,35721,1290,382,632,38025,
Bikes,22,330,0,0,0,2,0,38025,35921,1277,379,448,38025,
Bikes,23,345,0,0,0,0,0,38025,34653,1510,534,1328,38025,
Bikes,23,345,0,0,0,1,0,38025,36147,1100,321,457,38025,
Bikes,23,345,0,0,0,2,0,38025,36149,1188,303,385,38025,
Bikes,24,360,0,0,0,0,0,38025,33420,2023,796,1786,38025,
Bikes,24,360,0,0,0,1,0,38025,35592,1314,464,655,38025,
