Light_Field,Hypercubo,Pos_x,Pos_y,Pos_u,Pos_v,Channel,Level,Hypercubo_Size,N_Zero,N_One,N_Two,N_Greater_Than_Two,Total_Values,
DangerDeMort,0,0,0,0,0,0,0,38025,2807,2698,2501,30019,38025,
DangerDeMort,0,0,0,0,0,1,0,38025,4002,3870,3492,26661,38025,
DangerDeMort,0,0,0,0,0,2,0,38025,2343,2420,2326,30936,38025,
DangerDeMort,1,15,0,0,0,0,0,38025,4561,4229,3736,25499,38025,
DangerDeMort,1,15,0,0,0,1,0,38025,7340,6290,4721,19674,38025,
DangerDeMort,1,15,0,0,0,2,0,38025,2985,2852,2842,29346,38025,
DangerDeMort,2,30,0,0,0,0,0,38025,4269,3998,3468,26290,38025,
DangerDeMort,2,30,0,0,0,1,0,38025,5901,5190,4209,22725,38025,
DangerDeMort,2,30,0,0,0,2,0,38025,3754,3542,3237,27492,38025,
DangerDeMort,3,45,0,0,0,0,0,38025,5176,4784,3972,24093,38025,
DangerDeMort,3,45,0,0,0,1,0,38025,8557,6833,4827,17808,38025,
DangerDeMort,3,45,0,0,0,2,0,38025,3656,3401,3212,27756,38025,
DangerDeMort,4,60,0,0,0,0,0,38025,4768,4312,3683,25262,38025,
DangerDeMort,4,60,0,0,0,1,0,38025,6863,5714,4534,20914,38025,
DangerDeMort,4,60,0,0,0,2,0,38025,3752,3610,3430,27233,38025,
DangerDeMort,5,75,0,0,0,0,0,38025,5336,4665,3876,24148,38025,
DangerDeMort,5,75,0,0,0,1,0,38025,7789,6381,4575,19280,38025,
DangerDeMort,5,75,0,0,0,2,0,38025,4345,4049,3823,25808,38025,
DangerDeMort,6,90,0,0,0,0,0,38025,5577,4932,4048,23468,38025,
DangerDeMort,6,90,0,0,0,1,0,38025,8728,6808,4746,17743,38025,
DangerDeMort,6,90,0,0,0,2,0,38025,3880,3843,3450,26852,38025,
DangerDeMort,7,105,0,0,0,0,0,38025,5758,4940,3927,23400,38025,
DangerDeMort,7,105,0,0,0,1,0,38025,8122,6499,4742,18662,38025,
DangerDeMort,7,105,0,0,0,2,0,38025,5404,4845,4104,23672,38025,
DangerDeMort,8,120,0,0,0,0,0,38025,6768,5556,4186,21515,38025,
DangerDeMort,8,120,0,0,0,1,0,38025,10751,7449,4853,14972,38025,
