Light_Field,Hypercubo,Pos_x,Pos_y,Pos_u,Pos_v,Channel,Level,Hypercubo_Size,N_Zero,N_One,N_Two,N_Greater_Than_Two,Total_Values,
Danger_de_Mort,0,0,0,0,0,0,0,38025,37888,73,24,40,38025,
Danger_de_Mort,0,0,0,0,0,1,0,38025,37980,22,10,13,38025,
Danger_de_Mort,0,0,0,0,0,2,0,38025,37986,24,4,11,38025,
Danger_de_Mort,1,15,0,0,0,0,0,38025,37949,39,11,26,38025,
Danger_de_Mort,1,15,0,0,0,1,0,38025,38003,11,2,9,38025,
Danger_de_Mort,1,15,0,0,0,2,0,38025,38006,11,2,6,38025,
Danger_de_Mort,2,30,0,0,0,0,0,38025,37906,64,20,35,38025,
Danger_de_Mort,2,30,0,0,0,1,0,38025,37986,20,6,13,38025,
Danger_de_Mort,2,30,0,0,0,2,0,38025,38001,5,3,16,38025,
Danger_de_Mort,3,45,0,0,0,0,0,38025,37932,45,18,30,38025,
Danger_de_Mort,3,45,0,0,0,1,0,38025,37999,13,6,7,38025,
Danger_de_Mort,3,45,0,0,0,2,0,38025,37992,20,5,8,38025,
Danger_de_Mort,4,60,0,0,0,0,0,38025,37899,65,23,38,38025,
Danger_de_Mort,4,60,0,0,0,1,0,38025,37984,19,6,16,38025,
Danger_de_Mort,4,60,0,0,0,2,0,38025,37989,17,5,14,38025,
Danger_de_Mort,5,75,0,0,0,0,0,38025,37906,60,20,39,38025,
Danger_de_Mort,5,75,0,0,0,1,0,38025,37974,29,6,16,38025,
Danger_de_Mort,5,75,0,0,0,2,0,38025,37984,17,9,15,38025,
Danger_de_Mort,6,90,0,0,0,0,0,38025,37911,54,21,39,38025,
Danger_de_Mort,6,90,0,0,0,1,0,38025,37978,23,9,15,38025,
Danger_de_Mort,6,90,0,0,0,2,0,38025,37980,22,10,13,38025,
Danger_de_Mort,7,105,0,0,0,0,0,38025,37915,58,18,34,38025,
Danger_de_Mort,7,105,0,0,0,1,0,38025,37971,30,10,14,38025,
Danger_de_Mort,7,105,0,0,0,2,0,38025,37982,20,10,13,38025,
Danger_de_Mort,8,120,0,0,0,0,0,38025,37942,37,16,30,38025,
Danger_de_Mort,8,120,0,0,0,1,0,38025,37998,12,4,11,38025,
Danger_de_Mort,8,120,0,0,0,2,0,38025,37996,11,6,12,38025,
Danger_de_Mort,9,135,0,0,0,0,0,38025,37911,53,20,41,38025,
Danger_de_Mort,9,135,0,0,0,1,0,38025,37983,22,4,16,38025,
Danger_de_Mort,9,135,0,0,0,2,0,38025,37994,12,5,14,38025,
Danger_de_Mort,10,150,0,0,0,0,0,38025,37915,52,20,38,38025,
Danger_de_Mort,10,150,0,0,0,1,0,38025,37982,22,9,12,38025,
Danger_de_Mort,10,150,0,0,0,2,0,38025,37980,24,7,14,38025,
Danger_de_Mort,11,165,0,0,0,0,0,38025,37901,65,21,38,38025,
Danger_de_Mort,11,165,0,0,0,1,0,38025,37972,29,8,16,38025,
Danger_de_Mort,11,165,0,0,0,2,0,38025,37987,16,8,14,38025,
Danger_de_Mort,12,180,0,0,0,0,0,38025,37925,48,18,34,38025,
Danger_de_Mort,12,180,0,0,0,1,0,38025,37981,15,12,17,38025,
Danger_de_Mort,12,180,0,0,0,2,0,38025,37999,10,5,11,38025,
Danger_de_Mort,13,195,0,0,0,0,0,38025,37921,57,15,32,38025,
Danger_de_Mort,13,195,0,0,0,1,0,38025,37994,13,4,14,38025,
Danger_de_Mort,13,195,0,0,0,2,0,38025,38009,7,3,6,38025,
Danger_de_Mort,14,210,0,0,0,0,0,38025,37969,24,12,20,38025,
Danger_de_Mort,14,210,0,0,0,1,0,38025,38005,10,4,6,38025,
Danger_de_Mort,14,210,0,0,0,2,0,38025,38017,3,2,3,38025,
Danger_de_Mort,15,225,0,0,0,0,0,38025,37941,39,12,33,38025,
Danger_de_Mort,15,225,0,0,0,1,0,38025,37978,21,7,19,38025,
Danger_de_Mort,15,225,0,0,0,2,0,38025,38007,7,4,7,38025,
Danger_de_Mort,16,240,0,0,0,0,0,38025,37959,35,8,23,38025,
Danger_de_Mort,16,240,0,0,0,1,0,38025,37998,13,5,9,38025,
Danger_de_Mort,16,240,0,0,0,2,0,38025,38017,0,3,5,38025,
Danger_de_Mort,17,255,0,0,0,0,0,38025,37950,35,9,31,38025,
Danger_de_Mort,17,255,0,0,0,1,0,38025,37990,19,6,10,38025,
Danger_de_Mort,17,255,0,0,0,2,0,38025,38014,3,1,7,38025,
Danger_de_Mort,18,270,0,0,0,0,0,38025,37933,43,12,37,38025,
Danger_de_Mort,18,270,0,0,0,1,0,38025,37984,24,3,14,38025,
Danger_de_Mort,18,270,0,0,0,2,0,38025,38011,6,2,6,38025,
Danger_de_Mort,19,285,0,0,0,0,0,38025,37926,52,12,35,38025,
Danger_de_Mort,19,285,0,0,0,1,0,38025,37975,23,13,14,38025,
Danger_de_Mort,19,285,0,0,0,2,0,38025,38010,6,2,7,38025,
Danger_de_Mort,20,300,0,0,0,0,0,38025,37941,39,15,30,38025,
Danger_de_Mort,20,300,0,0,0,1,0,38025,37990,18,7,10,38025,
Danger_de_Mort,20,300,0,0,0,2,0,38025,38012,5,2,6,38025,
Danger_de_Mort,21,315,0,0,0,0,0,38025,37949,37,12,27,38025,
Danger_de_Mort,21,315,0,0,0,1,0,38025,37996,16,5,8,38025,
Danger_de_Mort,21,315,0,0,0,2,0,38025,38018,1,0,6,38025,
Danger_de_Mort,22,330,0,0,0,0,0,38025,37936,39,18,32,38025,
Danger_de_Mort,22,330,0,0,0,1,0,38025,37993,6,9,17,38025,
Danger_de_Mort,22,330,0,0,0,2,0,38025,38001,11,3,10,38025,
Danger_de_Mort,23,345,0,0,0,0,0,38025,37928,54,8,35,38025,
Danger_de_Mort,23,345,0,0,0,1,0,38025,37993,15,3,14,38025,
Danger_de_Mort,23,345,0,0,0,2,0,38025,37996,10,3,16,38025,
Danger_de_Mort,24,360,0,0,0,0,0,38025,37938,48,9,30,38025,
Danger_de_Mort,24,360,0,0,0,1,0,38025,38002,7,6,10,38025,
Danger_de_Mort,24,360,0,0,0,2,0,38025,37995,11,8,11,38025,
Danger_de_Mort,25,375,0,0,0,0,0,38025,37948,37,15,25,38025,
Danger_de_Mort,25,375,0,0,0,1,0,38025,38007,10,5,3,38025,
Danger_de_Mort,25,375,0,0,0,2,0,38025,38009,12,3,1,38025,
Danger_de_Mort,26,390,0,0,0,0,0,38025,37940,48,13,24,38025,
Danger_de_Mort,26,390,0,0,0,1,0,38025,38012,6,4,3,38025,
Danger_de_Mort,26,390,0,0,0,2,0,38025,38010,13,0,2,38025,
Danger_de_Mort,27,405,0,0,0,0,0,38025,37940,49,12,24,38025,
Danger_de_Mort,27,405,0,0,0,1,0,38025,38013,9,2,1,38025,
Danger_de_Mort,27,405,0,0,0,2,0,38025,38020,3,1,1,38025,
Danger_de_Mort,28,420,0,0,0,0,0,38025,37950,40,12,23,38025,
Danger_de_Mort,28,420,0,0,0,1,0,38025,38019,3,0,3,38025,
Danger_de_Mort,28,420,0,0,0,2,0,38025,38021,1,1,2,38025,
Danger_de_Mort,29,435,0,0,0,0,0,38025,37941,45,12,27,38025,
Danger_de_Mort,29,435,0,0,0,1,0,38025,38017,4,1,3,38025,
Danger_de_Mort,29,435,0,0,0,2,0,38025,38020,3,0,2,38025,
Danger_de_Mort,30,450,0,0,0,0,0,38025,37939,41,14,31,38025,
Danger_de_Mort,30,450,0,0,0,1,0,38025,38015,5,0,5,38025,
Danger_de_Mort,30,450,0,0,0,2,0,38025,38018,2,1,4,38025,
Danger_de_Mort,31,465,0,0,0,0,0,38025,37938,41,14,32,38025,
Danger_de_Mort,31,465,0,0,0,1,0,38025,37992,14,8,11,38025,
Danger_de_Mort,31,465,0,0,0,2,0,38025,37996,16,2,11,38025,
