Light_Field,Hypercubo,Pos_x,Pos_y,Pos_u,Pos_v,Channel,Level,Hypercubo_Size,N_Zero,N_One,N_Two,N_Greater_Than_Two,Total_Values,
DangerDeMort,0,0,0,0,0,0,1,3136,726,552,347,1511,3136,
DangerDeMort,0,8,0,0,0,0,1,2744,1852,509,160,223,2744,
DangerDeMort,0,0,8,0,0,0,1,2744,1245,698,292,509,2744,
DangerDeMort,0,8,8,0,0,0,1,2401,1854,384,86,77,2401,
DangerDeMort,0,0,0,7,0,0,1,2688,1792,494,179,223,2688,
DangerDeMort,0,8,0,7,0,0,1,2352,2300,47,4,1,2352,
DangerDeMort,0,0,8,7,0,0,1,2352,2069,225,30,28,2352,
DangerDeMort,0,8,8,7,0,0,1,2058,2039,19,0,0,2058,
DangerDeMort,0,0,0,0,7,0,1,2688,2055,376,125,132,2688,
DangerDeMort,0,8,0,0,7,0,1,2352,2279,63,9,1,2352,
DangerDeMort,0,0,8,0,7,0,1,2352,2057,247,33,15,2352,
DangerDeMort,0,8,8,0,7,0,1,2058,2040,17,1,0,2058,
DangerDeMort,0,0,0,7,7,0,1,2304,2150,101,26,27,2304,
DangerDeMort,0,8,0,7,7,0,1,2016,2013,3,0,0,2016,
DangerDeMort,0,0,8,7,7,0,1,2016,1988,27,1,0,2016,
DangerDeMort,0,8,8,7,7,0,1,1764,1764,0,0,0,1764,
DangerDeMort,0,0,0,0,0,1,1,3136,1189,595,329,1023,3136,
DangerDeMort,0,8,0,0,0,1,1,2744,2032,451,147,114,2744,
DangerDeMort,0,0,8,0,0,1,1,2744,1486,573,296,389,2744,
DangerDeMort,0,8,8,0,0,1,1,2401,1992,287,72,50,2401,
DangerDeMort,0,0,0,7,0,1,1,2688,2270,300,73,45,2688,
DangerDeMort,0,8,0,7,0,1,1,2352,2344,8,0,0,2352,
DangerDeMort,0,0,8,7,0,1,1,2352,2287,62,3,0,2352,
DangerDeMort,0,8,8,7,0,1,1,2058,2058,0,0,0,2058,
DangerDeMort,0,0,0,0,7,1,1,2688,2452,172,39,25,2688,
DangerDeMort,0,8,0,0,7,1,1,2352,2347,5,0,0,2352,
DangerDeMort,0,0,8,0,7,1,1,2352,2280,70,2,0,2352,
DangerDeMort,0,8,8,0,7,1,1,2058,2056,2,0,0,2058,
DangerDeMort,0,0,0,7,7,1,1,2304,2263,28,7,6,2304,
DangerDeMort,0,8,0,7,7,1,1,2016,2016,0,0,0,2016,
DangerDeMort,0,0,8,7,7,1,1,2016,2012,4,0,0,2016,
DangerDeMort,0,8,8,7,7,1,1,1764,1764,0,0,0,1764,
DangerDeMort,0,0,0,0,0,2,1,3136,925,576,416,1219,3136,
DangerDeMort,0,8,0,0,0,2,1,2744,1609,624,253,258,2744,
