Light_Field,Hypercubo,Pos_x,Pos_y,Pos_u,Pos_v,Channel,Level,Hypercubo_Size,N_Zero,N_One,N_Two,N_Greater_Than_Two,Total_Values,
FountainVincent2,0,0,0,0,0,0,0,38025,5062,4535,3567,24861,38025,
FountainVincent2,0,0,0,0,0,1,0,38025,2210,2294,2249,31272,38025,
FountainVincent2,0,0,0,0,0,2,0,38025,5532,5033,4056,23404,38025,
FountainVincent2,1,15,0,0,0,0,0,38025,7288,5847,4503,20387,38025,
FountainVincent2,1,15,0,0,0,1,0,38025,3752,3763,3342,27168,38025,
FountainVincent2,1,15,0,0,0,2,0,38025,7897,6227,4485,19416,38025,
FountainVincent2,2,30,0,0,0,0,0,38025,8951,6362,4376,18336,38025,
FountainVincent2,2,30,0,0,0,1,0,38025,7482,6096,4615,19832,38025,
FountainVincent2,2,30,0,0,0,2,0,38025,9796,7102,4689,16438,38025,
FountainVincent2,3,45,0,0,0,0,0,38025,9921,6603,4468,17033,38025,
FountainVincent2,3,45,0,0,0,1,0,38025,8835,6698,4672,17820,38025,
FountainVincent2,3,45,0,0,0,2,0,38025,11132,7295,4609,14989,38025,
FountainVincent2,4,60,0,0,0,0,0,38025,9329,5985,4140,18571,38025,
FountainVincent2,4,60,0,0,0,1,0,38025,8956,6617,4702,17750,38025,
FountainVincent2,4,60,0,0,0,2,0,38025,10459,7047,4694,15825,38025,
FountainVincent2,5,75,0,0,0,0,0,38025,9157,6241,4222,18405,38025,
FountainVincent2,5,75,0,0,0,1,0,38025,6192,5706,4551,21576,38025,
FountainVincent2,5,75,0,0,0,2,0,38025,10494,7229,4583,15719,38025,
FountainVincent2,6,90,0,0,0,0,0,38025,7778,5495,4013,20739,38025,
FountainVincent2,6,90,0,0,0,1,0,38025,5645,5095,4167,23118,38025,
FountainVincent2,6,90,0,0,0,2,0,38025,8675,6645,4645,18060,38025,
FountainVincent2,7,105,0,0,0,0,0,38025,8749,5994,4139,19143,38025,
FountainVincent2,7,105,0,0,0,1,0,38025,7392,6137,4607,19889,38025,
FountainVincent2,7,105,0,0,0,2,0,38025,10088,7083,4619,16235,38025,
FountainVincent2,8,120,0,0,0,0,0,38025,9992,6551,4228,17254,38025,
FountainVincent2,8,120,0,0,0,1,0,38025,10197,7051,4779,15998,38025,
FountainVincent2,8,120,0,0,0,2,0,38025,10836,7257,4753,15179,38025,
FountainVincent2,9,135,0,0,0,0,0,38025,9835,6282,4316,17592,38025,
FountainVincent2,9,135,0,0,0,1,0,38025,10210,7114,4856,15845,38025,
FountainVincent2,9,135,0,0,0,2,0,38025,11045,7379,4695,14906,38025,
FountainVincent2,10,150,0,0,0,0,0,38025,8895,6143,4129,18858,38025,
FountainVincent2,10,150,0,0,0,1,0,38025,7713,6361,4860,19091,38025,
FountainVincent2,10,150,0,0,0,2,0,38025,9693,6864,4719,16749,38025,
FountainVincent2,11,165,0,0,0,0,0,38025,9138,6149,4235,18503,38025,
FountainVincent2,11,165,0,0,0,1,0,38025,6720,5759,4780,20766,38025,
FountainVincent2,11,165,0,0,0,2,0,38025,10588,7251,4632,15554,38025,
FountainVincent2,12,180,0,0,0,0,0,38025,8103,5700,4081,20141,38025,
FountainVincent2,12,180,0,0,0,1,0,38025,4577,4306,3963,25179,38025,
FountainVincent2,12,180,0,0,0,2,0,38025,9605,6795,4823,16802,38025,
