Light_Field,Hypercubo,Pos_x,Pos_y,Pos_u,Pos_v,Channel,Level,Hypercubo_Size,N_Zero,N_One,N_Two,N_Greater_Than_Two,Total_Values,
FountainVincent2,0,0,0,0,0,0,1,3136,3043,38,16,39,3136,
FountainVincent2,0,8,0,0,0,0,1,2744,2740,2,1,1,2744,
FountainVincent2,0,0,8,0,0,0,1,2744,2730,11,3,0,2744,
FountainVincent2,0,8,8,0,0,0,1,2401,2401,0,0,0,2401,
FountainVincent2,0,0,0,7,0,0,1,2688,2684,4,0,0,2688,
FountainVincent2,0,8,0,7,0,0,1,2352,2352,0,0,0,2352,
FountainVincent2,0,0,8,7,0,0,1,2352,2352,0,0,0,2352,
FountainVincent2,0,8,8,7,0,0,1,2058,2058,0,0,0,2058,
FountainVincent2,0,0,0,0,7,0,1,2688,2685,3,0,0,2688,
FountainVincent2,0,8,0,0,7,0,1,2352,2352,0,0,0,2352,
FountainVincent2,0,0,8,0,7,0,1,2352,2352,0,0,0,2352,
FountainVincent2,0,8,8,0,7,0,1,2058,2058,0,0,0,2058,
FountainVincent2,0,0,0,7,7,0,1,2304,2304,0,0,0,2304,
FountainVincent2,0,8,0,7,7,0,1,2016,2016,0,0,0,2016,
FountainVincent2,0,0,8,7,7,0,1,2016,2016,0,0,0,2016,
FountainVincent2,0,8,8,7,7,0,1,1764,1764,0,0,0,1764,
FountainVincent2,0,0,0,0,0,1,1,3136,3083,29,9,15,3136,
FountainVincent2,0,8,0,0,0,1,1,2744,2744,0,0,0,2744,
FountainVincent2,0,0,8,0,0,1,1,2744,2744,0,0,0,2744,
FountainVincent2,0,8,8,0,0,1,1,2401,2401,0,0,0,2401,
FountainVincent2,0,0,0,7,0,1,1,2688,2688,0,0,0,2688,
FountainVincent2,0,8,0,7,0,1,1,2352,2352,0,0,0,2352,
FountainVincent2,0,0,8,7,0,1,1,2352,2352,0,0,0,2352,
FountainVincent2,0,8,8,7,0,1,1,2058,2058,0,0,0,2058,
FountainVincent2,0,0,0,0,7,1,1,2688,2688,0,0,0,2688,
FountainVincent2,0,8,0,0,7,1,1,2352,2352,0,0,0,2352,
FountainVincent2,0,0,8,0,7,1,1,2352,2352,0,0,0,2352,
FountainVincent2,0,8,8,0,7,1,1,2058,2058,0,0,0,2058,
