Light_Field,Hypercubo,Pos_x,Pos_y,Pos_u,Pos_v,Channel,Level,Hypercubo_Size,N_Zero,N_One,N_Two,N_Greater_Than_Two,Total_Values,
Fountain_Vincent2,0,0,0,0,0,0,0,38025,37907,58,20,40,38025,
Fountain_Vincent2,0,0,0,0,0,1,0,38025,37972,29,9,15,38025,
Fountain_Vincent2,0,0,0,0,0,2,0,38025,38005,7,4,9,38025,
Fountain_Vincent2,1,15,0,0,0,0,0,38025,37934,41,13,37,38025,
Fountain_Vincent2,1,15,0,0,0,1,0,38025,37996,13,8,8,38025,
Fountain_Vincent2,1,15,0,0,0,2,0,38025,38003,15,1,6,38025,
Fountain_Vincent2,2,30,0,0,0,0,0,38025,37936,38,15,36,38025,
Fountain_Vincent2,2,30,0,0,0,1,0,38025,38006,11,1,7,38025,
Fountain_Vincent2,2,30,0,0,0,2,0,38025,38015,4,4,2,38025,
Fountain_Vincent2,3,45,0,0,0,0,0,38025,37932,42,15,36,38025,
Fountain_Vincent2,3,45,0,0,0,1,0,38025,38009,9,1,6,38025,
Fountain_Vincent2,3,45,0,0,0,2,0,38025,38018,2,3,2,38025,
Fountain_Vincent2,4,60,0,0,0,0,0,38025,37926,47,16,36,38025,
Fountain_Vincent2,4,60,0,0,0,1,0,38025,38009,10,0,6,38025,
Fountain_Vincent2,4,60,0,0,0,2,0,38025,38019,2,2,2,38025,
Fountain_Vincent2,5,75,0,0,0,0,0,38025,37919,51,18,37,38025,
Fountain_Vincent2,5,75,0,0,0,1,0,38025,37994,15,7,9,38025,
Fountain_Vincent2,5,75,0,0,0,2,0,38025,38009,7,2,7,38025,
Fountain_Vincent2,6,90,0,0,0,0,0,38025,37905,62,23,35,38025,
Fountain_Vincent2,6,90,0,0,0,1,0,38025,37999,11,7,8,38025,
Fountain_Vincent2,6,90,0,0,0,2,0,38025,37997,16,3,9,38025,
Fountain_Vincent2,7,105,0,0,0,0,0,38025,37919,53,20,33,38025,
Fountain_Vincent2,7,105,0,0,0,1,0,38025,37998,19,1,7,38025,
Fountain_Vincent2,7,105,0,0,0,2,0,38025,38008,11,1,5,38025,
Fountain_Vincent2,8,120,0,0,0,0,0,38025,37928,46,19,32,38025,
Fountain_Vincent2,8,120,0,0,0,1,0,38025,38004,15,0,6,38025,
Fountain_Vincent2,8,120,0,0,0,2,0,38025,38014,8,0,3,38025,
Fountain_Vincent2,9,135,0,0,0,0,0,38025,37925,45,19,36,38025,
Fountain_Vincent2,9,135,0,0,0,1,0,38025,38009,10,0,6,38025,
Fountain_Vincent2,9,135,0,0,0,2,0,38025,38013,7,2,3,38025,
Fountain_Vincent2,10,150,0,0,0,0,0,38025,37909,59,18,39,38025,
Fountain_Vincent2,10,150,0,0,0,1,0,38025,38002,11,4,8,38025,
Fountain_Vincent2,10,150,0,0,0,2,0,38025,38012,7,1,5,38025,
Fountain_Vincent2,11,165,0,0,0,0,0,38025,37927,51,11,36,38025,
Fountain_Vincent2,11,165,0,0,0,1,0,38025,37997,17,2,9,38025,
Fountain_Vincent2,11,165,0,0,0,2,0,38025,38010,9,2,4,38025,
Fountain_Vincent2,12,180,0,0,0,0,0,38025,37919,56,14,36,38025,
Fountain_Vincent2,12,180,0,0,0,1,0,38025,37981,24,9,11,38025,
Fountain_Vincent2,12,180,0,0,0,2,0,38025,38009,11,0,5,38025,
Fountain_Vincent2,13,195,0,0,0,0,0,38025,37893,62,25,45,38025,
Fountain_Vincent2,13,195,0,0,0,1,0,38025,37955,40,14,16,38025,
Fountain_Vincent2,13,195,0,0,0,2,0,38025,38006,10,2,7,38025,
Fountain_Vincent2,14,210,0,0,0,0,0,38025,37876,66,26,57,38025,
Fountain_Vincent2,14,210,0,0,0,1,0,38025,37959,40,11,15,38025,
Fountain_Vincent2,14,210,0,0,0,2,0,38025,38012,8,1,4,38025,
Fountain_Vincent2,15,225,0,0,0,0,0,38025,37876,72,24,53,38025,
Fountain_Vincent2,15,225,0,0,0,1,0,38025,37966,32,11,16,38025,
Fountain_Vincent2,15,225,0,0,0,2,0,38025,38016,4,0,5,38025,
Fountain_Vincent2,16,240,0,0,0,0,0,38025,37898,56,22,49,38025,
Fountain_Vincent2,16,240,0,0,0,1,0,38025,37974,30,10,11,38025,
Fountain_Vincent2,16,240,0,0,0,2,0,38025,38012,8,1,4,38025,
Fountain_Vincent2,17,255,0,0,0,0,0,38025,37905,55,15,50,38025,
Fountain_Vincent2,17,255,0,0,0,1,0,38025,37991,14,7,13,38025,
Fountain_Vincent2,17,255,0,0,0,2,0,38025,38014,7,1,3,38025,
Fountain_Vincent2,18,270,0,0,0,0,0,38025,37906,54,20,45,38025,
Fountain_Vincent2,18,270,0,0,0,1,0,38025,38016,3,1,5,38025,
Fountain_Vincent2,18,270,0,0,0,2,0,38025,38018,5,1,1,38025,
Fountain_Vincent2,19,285,0,0,0,0,0,38025,37910,51,21,43,38025,
Fountain_Vincent2,19,285,0,0,0,1,0,38025,38013,7,1,4,38025,
Fountain_Vincent2,19,285,0,0,0,2,0,38025,38005,11,2,7,38025,
Fountain_Vincent2,20,300,0,0,0,0,0,38025,37961,28,9,27,38025,
Fountain_Vincent2,20,300,0,0,0,1,0,38025,38017,4,3,1,38025,
Fountain_Vincent2,20,300,0,0,0,2,0,38025,38011,8,2,4,38025,
Fountain_Vincent2,21,315,0,0,0,0,0,38025,37957,30,10,28,38025,
Fountain_Vincent2,21,315,0,0,0,1,0,38025,38017,4,2,2,38025,
Fountain_Vincent2,21,315,0,0,0,2,0,38025,38011,6,4,4,38025,
Fountain_Vincent2,22,330,0,0,0,0,0,38025,37912,57,16,40,38025,
Fountain_Vincent2,22,330,0,0,0,1,0,38025,38013,4,3,5,38025,
Fountain_Vincent2,22,330,0,0,0,2,0,38025,38008,9,1,7,38025,
Fountain_Vincent2,23,345,0,0,0,0,0,38025,37930,46,17,32,38025,
Fountain_Vincent2,23,345,0,0,0,1,0,38025,38012,5,4,4,38025,
Fountain_Vincent2,23,345,0,0,0,2,0,38025,38014,6,0,5,38025,
Fountain_Vincent2,24,360,0,0,0,0,0,38025,37978,21,8,18,38025,
Fountain_Vincent2,24,360,0,0,0,1,0,38025,38018,3,1,3,38025,
Fountain_Vincent2,24,360,0,0,0,2,0,38025,38018,3,1,3,38025,
Fountain_Vincent2,25,375,0,0,0,0,0,38025,37964,23,13,25,38025,
Fountain_Vincent2,25,375,0,0,0,1,0,38025,38014,5,2,4,38025,
Fountain_Vincent2,25,375,0,0,0,2,0,38025,38014,5,2,4,38025,
Fountain_Vincent2,26,390,0,0,0,0,0,38025,37962,27,15,21,38025,
