Light_Field,Hypercubo,Pos_x,Pos_y,Pos_u,Pos_v,Channel,Level,Hypercubo_Size,N_Zero,N_One,N_Two,N_Greater_Than_Two,Total_Values,
Bikes,0,0,0,0,0,0,0,38025,4643,3906,3192,26284,38025,
Bikes,0,0,0,0,0,1,0,38025,6031,5314,4217,22463,38025,
Bikes,0,0,0,0,0,2,0,38025,4765,4342,3728,25190,38025,
Bikes,1,15,0,0,0,0,0,38025,7017,5331,3915,21762,38025,
Bikes,1,15,0,0,0,1,0,38025,6172,5569,4410,21874,38025,
Bikes,1,15,0,0,0,2,0,38025,7737,5953,4302,20033,38025,
Bikes,2,30,0,0,0,0,0,38025,7261,5377,3928,21459,38025,
Bikes,2,30,0,0,0,1,0,38025,7193,6166,4648,20018,38025,
Bikes,2,30,0,0,0,2,0,38025,9047,6780,4675,17523,38025,
Bikes,3,45,0,0,0,0,0,38025,5873,4742,3518,23892,38025,
Bikes,3,45,0,0,0,1,0,38025,7532,6032,4562,19899,38025,
Bikes,3,45,0,0,0,2,0,38025,7313,6111,4564,20037,38025,
Bikes,4,60,0,0,0,0,0,38025,8148,5674,3796,20407,38025,
Bikes,4,60,0,0,0,1,0,38025,10743,7352,4727,15203,38025,
Bikes,4,60,0,0,0,2,0,38025,10105,7387,4747,15786,38025,
Bikes,5,75,0,0,0,0,0,38025,10708,6792,4392,16133,38025,
Bikes,5,75,0,0,0,1,0,38025,14026,8113,4381,11505,38025,
Bikes,5,75,0,0,0,2,0,38025,12787,7765,4468,13005,38025,
Bikes,6,90,0,0,0,0,0,38025,11189,6945,4436,15455,38025,
Bikes,6,90,0,0,0,1,0,38025,14485,8067,4420,11053,38025,
Bikes,6,90,0,0,0,2,0,38025,13057,7782,4411,12775,38025,
Bikes,7,105,0,0,0,0,0,38025,10398,6740,4337,16550,38025,
Bikes,7,105,0,0,0,1,0,38025,12859,7900,4597,12669,38025,
Bikes,7,105,0,0,0,2,0,38025,12436,7889,4563,13137,38025,
Bikes,8,120,0,0,0,0,0,38025,9282,6156,4078,18509,38025,
Bikes,8,120,0,0,0,1,0,38025,12244,7891,4629,13261,38025,
Bikes,8,120,0,0,0,2,0,38025,11550,7794,4729,13952,38025,
Bikes,9,135,0,0,0,0,0,38025,10657,6335,4223,16810,38025,
Bikes,9,135,0,0,0,1,0,38025,12951,7918,4563,12593,38025,
Bikes,9,135,0,0,0,2,0,38025,12085,7758,4624,13558,38025,
Bikes,10,150,0,0,0,0,0,38025,9563,6279,4206,17977,38025,
Bikes,10,150,0,0,0,1,0,38025,10030,7459,4962,15574,38025,
Bikes,10,150,0,0,0,2,0,38025,10786,7063,4664,15512,38025,
Bikes,11,165,0,0,0,0,0,38025,7985,5491,3903,20646,38025,
Bikes,11,165,0,0,0,1,0,38025,8815,6827,4936,17447,38025,
Bikes,11,165,0,0,0,2,0,38025,8836,6520,4693,17976,38025,
Bikes,12,180,0,0,0,0,0,38025,7071,5233,3776,21945,38025,
Bikes,12,180,0,0,0,1,0,38025,7078,6183,4709,20055,38025,
Bikes,12,180,0,0,0,2,0,38025,7063,6176,4573,20213,38025,
Bikes,13,195,0,0,0,0,0,38025,7106,5057,3705,22157,38025,
Bikes,13,195,0,0,0,1,0,38025,7391,6011,4565,20058,38025,
Bikes,13,195,0,0,0,2,0,38025,7874,6175,4568,19408,38025,
Bikes,14,210,0,0,0,0,0,38025,5912,4607,3465,24041,38025,
Bikes,14,210,0,0,0,1,0,38025,4901,4451,4035,24638,38025,
Bikes,14,210,0,0,0,2,0,38025,5943,5206,4207,22669,38025,
Bikes,15,225,0,0,0,0,0,38025,4696,3960,3201,26168,38025,
Bikes,15,225,0,0,0,1,0,38025,3248,3197,3022,28558,38025,
Bikes,15,225,0,0,0,2,0,38025,4506,4038,3643,25838,38025,
Bikes,16,240,0,0,0,0,0,38025,6236,5010,3772,23007,38025,
Bikes,16,240,0,0,0,1,0,38025,7437,6211,4638,19739,38025,
Bikes,16,240,0,0,0,2,0,38025,7793,6299,4685,19248,38025,
Bikes,17,255,0,0,0,0,0,38025,10388,6592,4354,16691,38025,
