Light_Field,Hypercubo,Pos_x,Pos_y,Pos_u,Pos_v,Channel,Level,Hypercubo_Size,N_Zero,N_One,N_Two,N_Greater_Than_Two,Total_Values,
StonePillarsOutside,0,0,0,0,0,0,0,38025,6304,5034,3830,22857,38025,
StonePillarsOutside,0,0,0,0,0,1,0,38025,5050,4682,4166,24127,38025,
StonePillarsOutside,0,0,0,0,0,2,0,38025,7735,6282,4566,19442,38025,
StonePillarsOutside,1,15,0,0,0,0,0,38025,8183,5945,4440,19457,38025,
StonePillarsOutside,1,15,0,0,0,1,0,38025,5758,5211,4454,22602,38025,
StonePillarsOutside,1,15,0,0,0,2,0,38025,8853,6637,4657,17878,38025,
StonePillarsOutside,2,30,0,0,0,0,0,38025,8701,6390,4534,18400,38025,
StonePillarsOutside,2,30,0,0,0,1,0,38025,7414,6123,4828,19660,38025,
StonePillarsOutside,2,30,0,0,0,2,0,38025,9856,7096,4751,16322,38025,
StonePillarsOutside,3,45,0,0,0,0,0,38025,9342,6439,4526,17718,38025,
StonePillarsOutside,3,45,0,0,0,1,0,38025,8218,6524,4916,18367,38025,
StonePillarsOutside,3,45,0,0,0,2,0,38025,10882,7420,4739,14984,38025,
StonePillarsOutside,4,60,0,0,0,0,0,38025,8663,6091,4332,18939,38025,
StonePillarsOutside,4,60,0,0,0,1,0,38025,9081,6882,4881,17181,38025,
StonePillarsOutside,4,60,0,0,0,2,0,38025,10272,7328,4791,15634,38025,
StonePillarsOutside,5,75,0,0,0,0,0,38025,6191,4964,3651,23219,38025,
StonePillarsOutside,5,75,0,0,0,1,0,38025,7200,5945,4497,20383,38025,
StonePillarsOutside,5,75,0,0,0,2,0,38025,7970,6466,4855,18734,38025,
StonePillarsOutside,6,90,0,0,0,0,0,38025,5397,4625,3698,24305,38025,
StonePillarsOutside,6,90,0,0,0,1,0,38025,6592,5674,4510,21249,38025,
StonePillarsOutside,6,90,0,0,0,2,0,38025,7419,6213,4762,19631,38025,
StonePillarsOutside,7,105,0,0,0,0,0,38025,6483,5031,3778,22733,38025,
StonePillarsOutside,7,105,0,0,0,1,0,38025,8361,6521,4787,18356,38025,
StonePillarsOutside,7,105,0,0,0,2,0,38025,8481,6863,5097,17584,38025,
StonePillarsOutside,8,120,0,0,0,0,0,38025,8390,5836,4042,19757,38025,
StonePillarsOutside,8,120,0,0,0,1,0,38025,10522,7370,4867,15266,38025,
StonePillarsOutside,8,120,0,0,0,2,0,38025,9685,7230,4931,16179,38025,
StonePillarsOutside,9,135,0,0,0,0,0,38025,7970,5925,4194,19936,38025,
StonePillarsOutside,9,135,0,0,0,1,0,38025,11630,7756,4968,13671,38025,
StonePillarsOutside,9,135,0,0,0,2,0,38025,7813,6307,4940,18965,38025,
StonePillarsOutside,10,150,0,0,0,0,0,38025,9904,6395,4311,17415,38025,
StonePillarsOutside,10,150,0,0,0,1,0,38025,12820,8064,4613,12528,38025,
StonePillarsOutside,10,150,0,0,0,2,0,38025,10271,7401,4794,15559,38025,
StonePillarsOutside,11,165,0,0,0,0,0,38025,8675,6218,4090,19042,38025,
StonePillarsOutside,11,165,0,0,0,1,0,38025,11747,7870,4894,13514,38025,
StonePillarsOutside,11,165,0,0,0,2,0,38025,9590,7328,5061,16046,38025,
StonePillarsOutside,12,180,0,0,0,0,0,38025,10193,6414,4307,17111,38025,
StonePillarsOutside,12,180,0,0,0,1,0,38025,13019,7821,4609,12576,38025,
StonePillarsOutside,12,180,0,0,0,2,0,38025,11623,7634,4714,14054,38025,
StonePillarsOutside,13,195,0,0,0,0,0,38025,9873,6458,4242,17452,38025,
StonePillarsOutside,13,195,0,0,0,1,0,38025,13063,7851,4521,12590,38025,
StonePillarsOutside,13,195,0,0,0,2,0,38025,10983,7431,4785,14826,38025,
StonePillarsOutside,14,210,0,0,0,0,0,38025,9698,6238,4201,17888,38025,
StonePillarsOutside,14,210,0,0,0,1,0,38025,12289,7999,4685,13052,38025,
StonePillarsOutside,14,210,0,0,0,2,0,38025,10806,7444,4920,14855,38025,
StonePillarsOutside,15,225,0,0,0,0,0,38025,8687,5951,4032,19355,38025,
StonePillarsOutside,15,225,0,0,0,1,0,38025,11309,7481,4867,14368,38025,
StonePillarsOutside,15,225,0,0,0,2,0,38025,9945,7046,4975,16059,38025,
StonePillarsOutside,16,240,0,0,0,0,0,38025,5810,4646,3504,24065,38025,
StonePillarsOutside,16,240,0,0,0,1,0,38025,8387,6283,4763,18592,38025,
StonePillarsOutside,16,240,0,0,0,2,0,38025,6304,5284,4356,22081,38025,
StonePillarsOutside,17,255,0,0,0,0,0,38025,6376,5017,3800,22832,38025,
StonePillarsOutside,17,255,0,0,0,1,0,38025,8524,6624,4613,18264,38025,
StonePillarsOutside,17,255,0,0,0,2,0,38025,7172,5919,4284,20650,38025,
StonePillarsOutside,18,270,0,0,0,0,0,38025,11577,6990,4718,14740,38025,
StonePillarsOutside,18,270,0,0,0,1,0,38025,9965,7453,4888,15719,38025,
StonePillarsOutside,18,270,0,0,0,2,0,38025,13538,8045,4516,11926,38025,
StonePillarsOutside,19,285,0,0,0,0,0,38025,11355,7017,4601,15052,38025,
StonePillarsOutside,19,285,0,0,0,1,0,38025,10113,7297,4954,15661,38025,
StonePillarsOutside,19,285,0,0,0,2,0,38025,13863,8041,4365,11756,38025,
StonePillarsOutside,20,300,0,0,0,0,0,38025,11219,7089,4589,15128,38025,
StonePillarsOutside,20,300,0,0,0,1,0,38025,10080,7118,4974,15853,38025,
StonePillarsOutside,20,300,0,0,0,2,0,38025,13576,8010,4441,11998,38025,
StonePillarsOutside,21,315,0,0,0,0,0,38025,11340,6952,4561,15172,38025,
StonePillarsOutside,21,315,0,0,0,1,0,38025,10314,7282,4931,15498,38025,
StonePillarsOutside,21,315,0,0,0,2,0,38025,13484,7971,4416,12154,38025,
StonePillarsOutside,22,330,0,0,0,0,0,38025,10478,6648,4473,16426,38025,
StonePillarsOutside,22,330,0,0,0,1,0,38025,10160,7248,4846,15771,38025,
StonePillarsOutside,22,330,0,0,0,2,0,38025,12788,8082,4651,12504,38025,
StonePillarsOutside,23,345,0,0,0,0,0,38025,11346,6968,4500,15211,38025,
StonePillarsOutside,23,345,0,0,0,1,0,38025,11217,7466,4817,14525,38025,
StonePillarsOutside,23,345,0,0,0,2,0,38025,13557,7904,4535,12029,38025,
StonePillarsOutside,24,360,0,0,0,0,0,38025,8746,5928,4077,19274,38025,
StonePillarsOutside,24,360,0,0,0,1,0,38025,10902,7218,4616,15289,38025,
StonePillarsOutside,24,360,0,0,0,2,0,38025,9765,6887,4633,16740,38025,
StonePillarsOutside,25,375,0,0,0,0,0,38025,11221,7193,4724,14887,38025,
StonePillarsOutside,25,375,0,0,0,1,0,38025,15507,7915,3918,10685,38025,
StonePillarsOutside,25,375,0,0,0,2,0,38025,9538,6828,4550,17109,38025,
StonePillarsOutside,26,390,0,0,0,0,0,38025,11138,7009,4951,14927,38025,
StonePillarsOutside,26,390,0,0,0,1,0,38025,15262,7801,4081,10881,38025,
StonePillarsOutside,26,390,0,0,0,2,0,38025,9651,6863,4438,17073,38025,
StonePillarsOutside,27,405,0,0,0,0,0,38025,8882,6019,4149,18975,38025,
StonePillarsOutside,27,405,0,0,0,1,0,38025,9146,6900,4902,17077,38025,
StonePillarsOutside,27,405,0,0,0,2,0,38025,9758,7131,4648,16488,38025,
StonePillarsOutside,28,420,0,0,0,0,0,38025,10929,6883,4659,15554,38025,
StonePillarsOutside,28,420,0,0,0,1,0,38025,10180,7383,4869,15593,38025,
StonePillarsOutside,28,420,0,0,0,2,0,38025,12778,8111,4486,12650,38025,
StonePillarsOutside,29,435,0,0,0,0,0,38025,10926,7108,4740,15251,38025,
StonePillarsOutside,29,435,0,0,0,1,0,38025,11012,7554,4875,14584,38025,
StonePillarsOutside,29,435,0,0,0,2,0,38025,13033,7924,4572,12496,38025,
StonePillarsOutside,30,450,0,0,0,0,0,38025,10864,6941,4594,15626,38025,
StonePillarsOutside,30,450,0,0,0,1,0,38025,11520,7923,4773,13809,38025,
StonePillarsOutside,30,450,0,0,0,2,0,38025,12668,8005,4684,12668,38025,
StonePillarsOutside,31,465,0,0,0,0,0,38025,11022,6788,4467,15748,38025,
StonePillarsOutside,31,465,0,0,0,1,0,38025,12166,7932,4795,13132,38025,
StonePillarsOutside,31,465,0,0,0,2,0,38025,12983,7913,4586,12543,38025,
StonePillarsOutside,32,480,0,0,0,0,0,38025,10977,7004,4579,15465,38025,
StonePillarsOutside,32,480,0,0,0,1,0,38025,9891,7251,4937,15946,38025,
StonePillarsOutside,32,480,0,0,0,2,0,38025,12928,7889,4671,12537,38025,
StonePillarsOutside,33,495,0,0,0,0,0,38025,11102,7002,4777,15144,38025,
StonePillarsOutside,33,495,0,0,0,1,0,38025,9923,7239,4882,15981,38025,
StonePillarsOutside,33,495,0,0,0,2,0,38025,13171,8088,4502,12264,38025,
StonePillarsOutside,34,510,0,0,0,0,0,38025,11278,7059,4669,15019,38025,
StonePillarsOutside,34,510,0,0,0,1,0,38025,9731,7120,4820,16354,38025,
StonePillarsOutside,34,510,0,0,0,2,0,38025,13295,7780,4448,12502,38025,
StonePillarsOutside,35,525,0,0,0,0,0,38025,11051,6845,4668,15461,38025,
StonePillarsOutside,35,525,0,0,0,1,0,38025,10155,7125,4879,15866,38025,
StonePillarsOutside,35,525,0,0,0,2,0,38025,12876,7790,4530,12829,38025,
StonePillarsOutside,36,540,0,0,0,0,0,38025,10363,6722,4405,16535,38025,
StonePillarsOutside,36,540,0,0,0,1,0,38025,9480,6894,4790,16861,38025,
StonePillarsOutside,36,540,0,0,0,2,0,38025,12095,7643,4551,13736,38025,
StonePillarsOutside,37,555,0,0,0,0,0,38025,9762,6646,4583,17034,38025,
StonePillarsOutside,37,555,0,0,0,1,0,38025,6917,5976,4677,20455,38025,
StonePillarsOutside,37,555,0,0,0,2,0,38025,11403,7255,4631,14736,38025,
StonePillarsOutside,38,570,0,0,0,0,0,38025,9527,6559,4573,17366,38025,
StonePillarsOutside,38,570,0,0,0,1,0,38025,6377,5697,4531,21420,38025,
StonePillarsOutside,38,570,0,0,0,2,0,38025,10895,7235,4720,15175,38025,
StonePillarsOutside,39,585,0,0,0,0,0,38025,9103,6158,4425,18339,38025,
StonePillarsOutside,39,585,0,0,0,1,0,38025,6213,5494,4551,21767,38025,
StonePillarsOutside,39,585,0,0,0,2,0,38025,9948,7120,4595,16362,38025,
StonePillarsOutside,40,600,0,0,0,0,0,38025,8196,5884,4421,19524,38025,
StonePillarsOutside,40,600,0,0,0,1,0,38025,5277,4844,4111,23793,38025,
StonePillarsOutside,40,600,0,0,0,2,0,38025,9017,6471,4528,18009,38025,
StonePillarsOutside,41,615,0,0,0,0,0,38025,16718,3126,2498,15683,38025,
StonePillarsOutside,41,615,0,0,0,1,0,38025,16033,3030,2646,16316,38025,
StonePillarsOutside,41,615,0,0,0,2,0,38025,17808,4098,3011,13108,38025,
StonePillarsOutside,42,0,15,0,0,0,0,38025,7099,5721,4290,20915,38025,
StonePillarsOutside,42,0,15,0,0,1,0,38025,4777,4556,4113,24579,38025,
StonePillarsOutside,42,0,15,0,0,2,0,38025,8292,6547,4751,18435,38025,
StonePillarsOutside,43,15,15,0,0,0,0,38025,8676,6390,4714,18245,38025,
StonePillarsOutside,43,15,15,0,0,1,0,38025,6296,5694,4521,21514,38025,
StonePillarsOutside,43,15,15,0,0,2,0,38025,9408,6953,4809,16855,38025,
StonePillarsOutside,44,30,15,0,0,0,0,38025,9480,6733,4632,17180,38025,
StonePillarsOutside,44,30,15,0,0,1,0,38025,7826,6459,4802,18938,38025,
StonePillarsOutside,44,30,15,0,0,2,0,38025,10309,7249,4794,15673,38025,
StonePillarsOutside,45,45,15,0,0,0,0,38025,9827,6682,4585,16931,38025,
StonePillarsOutside,45,45,15,0,0,1,0,38025,9391,6803,4841,16990,38025,
StonePillarsOutside,45,45,15,0,0,2,0,38025,10973,7582,4808,14662,38025,
StonePillarsOutside,46,60,15,0,0,0,0,38025,7455,5556,4040,20974,38025,
StonePillarsOutside,46,60,15,0,0,1,0,38025,8178,6525,4819,18503,38025,
StonePillarsOutside,46,60,15,0,0,2,0,38025,8935,6874,4812,17404,38025,
StonePillarsOutside,47,75,15,0,0,0,0,38025,6216,5073,3912,22824,38025,
StonePillarsOutside,47,75,15,0,0,1,0,38025,7396,6277,4609,19743,38025,
StonePillarsOutside,47,75,15,0,0,2,0,38025,7955,6514,4820,18736,38025,
StonePillarsOutside,48,90,15,0,0,0,0,38025,5837,4513,3869,23806,38025,
StonePillarsOutside,48,90,15,0,0,1,0,38025,7200,6062,4740,20023,38025,
StonePillarsOutside,48,90,15,0,0,2,0,38025,7686,6506,4865,18968,38025,
StonePillarsOutside,49,105,15,0,0,0,0,38025,6298,5082,3905,22740,38025,
StonePillarsOutside,49,105,15,0,0,1,0,38025,7666,6251,4823,19285,38025,
StonePillarsOutside,49,105,15,0,0,2,0,38025,8251,6737,4947,18090,38025,
StonePillarsOutside,50,120,15,0,0,0,0,38025,7397,5514,4146,20968,38025,
StonePillarsOutside,50,120,15,0,0,1,0,38025,9194,6981,4873,16977,38025,
StonePillarsOutside,50,120,15,0,0,2,0,38025,9516,7336,4926,16247,38025,
StonePillarsOutside,51,135,15,0,0,0,0,38025,10367,6834,4592,16232,38025,
StonePillarsOutside,51,135,15,0,0,1,0,38025,12474,7982,4821,12748,38025,
StonePillarsOutside,51,135,15,0,0,2,0,38025,11909,7711,4690,13715,38025,
StonePillarsOutside,52,150,15,0,0,0,0,38025,10952,6940,4725,15408,38025,
StonePillarsOutside,52,150,15,0,0,1,0,38025,12861,8156,4742,12266,38025,
StonePillarsOutside,52,150,15,0,0,2,0,38025,12368,8027,4685,12945,38025,
StonePillarsOutside,53,165,15,0,0,0,0,38025,11478,7043,4759,14745,38025,
StonePillarsOutside,53,165,15,0,0,1,0,38025,13053,7836,4647,12489,38025,
StonePillarsOutside,53,165,15,0,0,2,0,38025,12799,7792,4562,12872,38025,
StonePillarsOutside,54,180,15,0,0,0,0,38025,11220,6889,4554,15362,38025,
StonePillarsOutside,54,180,15,0,0,1,0,38025,12770,8082,4699,12474,38025,
StonePillarsOutside,54,180,15,0,0,2,0,38025,12766,7903,4577,12779,38025,
StonePillarsOutside,55,195,15,0,0,0,0,38025,10969,6812,4629,15615,38025,
