Light_Field,Hypercubo,Pos_x,Pos_y,Pos_u,Pos_v,Channel,Level,Hypercubo_Size,N_Zero,N_One,N_Two,N_Greater_Than_Two,Total_Values,
Stone_Pillars_Outside,0,0,0,0,0,0,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,0,0,0,0,0,1,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,0,0,0,0,0,2,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,1,15,0,0,0,0,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,1,15,0,0,0,1,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,1,15,0,0,0,2,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,2,30,0,0,0,0,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,2,30,0,0,0,1,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,2,30,0,0,0,2,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,3,45,0,0,0,0,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,3,45,0,0,0,1,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,3,45,0,0,0,2,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,4,60,0,0,0,0,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,4,60,0,0,0,1,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,4,60,0,0,0,2,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,5,75,0,0,0,0,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,5,75,0,0,0,1,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,5,75,0,0,0,2,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,6,90,0,0,0,0,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,6,90,0,0,0,1,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,6,90,0,0,0,2,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,7,105,0,0,0,0,0,38025,38023,1,0,1,38025,
Stone_Pillars_Outside,7,105,0,0,0,1,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,7,105,0,0,0,2,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,8,120,0,0,0,0,0,38025,38022,2,0,1,38025,
Stone_Pillars_Outside,8,120,0,0,0,1,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,8,120,0,0,0,2,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,9,135,0,0,0,0,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,9,135,0,0,0,1,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,9,135,0,0,0,2,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,10,150,0,0,0,0,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,10,150,0,0,0,1,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,10,150,0,0,0,2,0,38025,38024,0,0,1,38025,
Stone_Pillars_Outside,11,165,0,0,0,0,0,38025,38024,0,0,1,38025,
