Light_Field,Hypercubo,Pos_x,Pos_y,Pos_u,Pos_v,Channel,Level,Hypercubo_Size,N_Zero,N_One,N_Two,N_Greater_Than_Two,Total_Values,
StonePillarsOutside,0,0,0,0,0,0,1,3136,1534,555,225,822,3136,
StonePillarsOutside,0,8,0,0,0,0,1,2744,2388,195,66,95,2744,
StonePillarsOutside,0,0,8,0,0,0,1,2744,1677,575,213,279,2744,
StonePillarsOutside,0,8,8,0,0,0,1,2401,2209,122,27,43,2401,
StonePillarsOutside,0,0,0,7,0,0,1,2688,2261,224,73,130,2688,
StonePillarsOutside,0,8,0,7,0,0,1,2352,2324,26,2,0,2352,
StonePillarsOutside,0,0,8,7,0,0,1,2352,2223,105,10,14,2352,
StonePillarsOutside,0,8,8,7,0,0,1,2058,2056,2,0,0,2058,
StonePillarsOutside,0,0,0,0,7,0,1,2688,2289,229,71,99,2688,
StonePillarsOutside,0,8,0,0,7,0,1,2352,2307,29,13,3,2352,
StonePillarsOutside,0,0,8,0,7,0,1,2352,2287,58,7,0,2352,
StonePillarsOutside,0,8,8,0,7,0,1,2058,2056,2,0,0,2058,
StonePillarsOutside,0,0,0,7,7,0,1,2304,2190,79,10,25,2304,
StonePillarsOutside,0,8,0,7,7,0,1,2016,2012,4,0,0,2016,
StonePillarsOutside,0,0,8,7,7,0,1,2016,2010,6,0,0,2016,
StonePillarsOutside,0,8,8,7,7,0,1,1764,1764,0,0,0,1764,
StonePillarsOutside,0,0,0,0,0,1,1,3136,1574,653,339,570,3136,
StonePillarsOutside,0,8,0,0,0,1,1,2744,2286,310,88,60,2744,
StonePillarsOutside,0,0,8,0,0,1,1,2744,1608,588,255,293,2744,
StonePillarsOutside,0,8,8,0,0,1,1,2401,2126,226,30,19,2401,
StonePillarsOutside,0,0,0,7,0,1,1,2688,2503,137,33,15,2688,
StonePillarsOutside,0,8,0,7,0,1,1,2352,2349,3,0,0,2352,
StonePillarsOutside,0,0,8,7,0,1,1,2352,2301,48,3,0,2352,
StonePillarsOutside,0,8,8,7,0,1,1,2058,2058,0,0,0,2058,
StonePillarsOutside,0,0,0,0,7,1,1,2688,2554,97,22,15,2688,
StonePillarsOutside,0,8,0,0,7,1,1,2352,2352,0,0,0,2352,
StonePillarsOutside,0,0,8,0,7,1,1,2352,2286,52,12,2,2352,
StonePillarsOutside,0,8,8,0,7,1,1,2058,2057,1,0,0,2058,
StonePillarsOutside,0,0,0,7,7,1,1,2304,2279,20,4,1,2304,
StonePillarsOutside,0,8,0,7,7,1,1,2016,2016,0,0,0,2016,
StonePillarsOutside,0,0,8,7,7,1,1,2016,2012,4,0,0,2016,
StonePillarsOutside,0,8,8,7,7,1,1,1764,1764,0,0,0,1764,
StonePillarsOutside,0,0,0,0,0,2,1,3136,1821,648,265,402,3136,
StonePillarsOutside,0,8,0,0,0,2,1,2744,2361,304,53,26,2744,
StonePillarsOutside,0,0,8,0,0,2,1,2744,1761,518,224,241,2744,
StonePillarsOutside,0,8,8,0,0,2,1,2401,2189,172,34,6,2401,
StonePillarsOutside,0,0,0,7,0,2,1,2688,2587,74,13,14,2688,
StonePillarsOutside,0,8,0,7,0,2,1,2352,2349,3,0,0,2352,
StonePillarsOutside,0,0,8,7,0,2,1,2352,2321,30,1,0,2352,
StonePillarsOutside,0,8,8,7,0,2,1,2058,2058,0,0,0,2058,
StonePillarsOutside,0,0,0,0,7,2,1,2688,2629,44,6,9,2688,
